label,timestamp,instantaneous_power,pedal_power_balance,accumulated_torque,cumulative_wheel_revs,last_wheel_event_time,cumulative_crank_revs,last_crank_event_time,maximum_force_magnitude,minimum_force_magnitude,maximum_torque_magnitude,minimum_torque_magnitude,top_dead_spot_angle,bottom_dead_spot_angle,accumulated_energy
label1,1770922174655,0,100,237,,,19,23293,,,,,,,
label1,1770922175674,0,100,237,,,19,23293,,,,,,,
label1,1770922176665,0,100,237,,,19,23293,,,,,,,
label1,1770922177654,0,100,237,,,19,23293,,,,,,,
label1,1770922178720,0,100,237,,,19,23293,,,,,,,
label1,1770922179893,0,100,237,,,19,23293,,,,,,,
label1,1770922180670,0,100,237,,,19,23293,,,,,,,
label1,1770922181840,0,100,237,,,19,23293,,,,,,,
label1,1770922182813,0,100,237,,,19,23293,,,,,,,
label1,1770922183790,0,100,237,,,19,23293,,,,,,,
label1,1770922184766,0,100,237,,,19,23293,,,,,,,
label1,1770922185739,0,100,237,,,19,23293,,,,,,,
label1,1770922186715,0,100,237,,,19,23293,,,,,,,
label1,1770922187689,0,100,237,,,19,23293,,,,,,,
label1,1770922188664,0,100,237,,,19,23293,,,,,,,
label1,1770922189835,0,100,237,,,19,23293,,,,,,,
label1,1770922190811,0,100,237,,,19,23293,,,,,,,
label1,1770922191785,0,100,237,,,19,23293,,,,,,,
label1,1770922192761,0,100,237,,,19,23293,,,,,,,
label1,1770922193734,0,100,237,,,19,23293,,,,,,,
label1,1770922194711,0,100,237,,,19,23293,,,,,,,
label1,1770922195686,0,100,237,,,19,23293,,,,,,,
